class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.504202,0.195,0.338983,0.755216,719,60,59,117,483
1tq1,0.670833,0.425887,0.441096,0.606398,719,161,79,204,275
2tq2,0,0.0250417,0,0.812239,719,0,120,15,584
3pst,0.45,0.112735,0.666667,0.741307,719,108,132,54,425
overall,,,,0.45758,719,329,390,,
