class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.513333,0.278689,0.571627,719,119,0,308,292
1tq1,0.6875,0.123173,0.736607,0.81363,719,165,75,59,420
2tq2,0.0916667,0,1,0.848401,719,11,109,0,599
3pst,0.00416667,0.11691,0.0175439,0.589708,719,1,239,56,423
overall,,,,0.411683,719,296,423,,
