class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.834492,719,0,119,0,600
1tq1,1,0.709812,0.413793,0.527121,719,240,0,340,139
2tq2,0,0,0,0.833102,719,0,120,0,599
3pst,0.4875,0.045929,0.841727,0.798331,719,117,123,22,457
overall,,,,0.496523,719,357,362,,
