class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.516667,0.108333,0.488189,0.829167,720,62,58,65,535
1tq1,0.354167,0.120833,0.594406,0.704167,720,85,155,58,422
2tq2,0.383333,0.0433333,0.638889,0.861111,720,46,74,26,574
3pst,0.804167,0.385417,0.510582,0.677778,720,193,47,185,295
overall,,,,0.536111,720,386,334,,
