class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.418333,0.321622,0.650904,719,119,0,251,349
1tq1,0.8,0.327766,0.550143,0.714882,719,192,48,157,322
2tq2,0,0,0,0.833102,719,0,120,0,599
3pst,0,0,0,0.666203,719,0,240,0,479
overall,,,,0.432545,719,311,408,,
