class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.136111,0.710059,0.897917,480,120,0,49,311
1tq1,0.4,0,1,0.7,480,96,144,0,240
2tq2,1,0.263889,0.55814,0.802083,480,120,0,95,265
overall,,,,0.7,480,336,144,,
