class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.102778,0.618557,0.797917,480,60,60,37,323
1tq1,0.845833,0.495833,0.630435,0.675,480,203,37,119,121
2tq2,0.508333,0,1,0.877083,480,61,59,0,360
overall,,,,0.675,480,324,156,,
