class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0.00833333,0,0.74375,480,0,120,3,357
1tq1,0.4875,0.525,0.481481,0.48125,480,117,123,126,114
2tq2,0.5,0.483333,0.25641,0.5125,480,60,60,174,186
overall,,,,0.36875,480,177,303,,
