class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.791086,0.502778,0.34341,0.570535,1439,284,75,543,537
1tq1,0.245833,0.265647,0.480978,0.489924,1439,177,543,191,528
2tq2,0.177778,0.166821,0.262295,0.669215,1439,64,296,180,899
overall,,,,0.364837,1439,525,914,,
