class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.833333,720,0,120,0,600
1tq1,0.741667,0.402083,0.479784,0.645833,720,178,62,193,287
2tq2,1,0.375,0.347826,0.6875,720,120,0,225,375
3pst,0.0166667,0,1,0.672222,720,4,236,0,480
overall,,,,0.419444,720,302,418,,
