class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.750521,1439,0,359,0,1080
1tq1,1,0.938804,0.516129,0.530924,1439,720,0,675,44
2tq2,0.122222,0,1,0.780403,1439,44,316,0,1079
overall,,,,0.530924,1439,764,675,,
