class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.75766,0.228704,0.524085,0.767894,1439,272,87,247,833
1tq1,0.488889,0.239221,0.671756,0.624739,1439,352,368,172,547
2tq2,0.597222,0.167748,0.542929,0.773454,1439,215,145,181,898
overall,,,,0.583044,1439,839,600,,
