class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.966667,0.3,0.517857,0.766667,480,116,4,108,252
1tq1,0.5875,0.0541667,0.915584,0.766667,480,141,99,13,227
2tq2,0.816667,0.0111111,0.960784,0.945833,480,98,22,4,356
overall,,,,0.739583,480,355,125,,
