class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.639777,0.287302,0.307898,0.700556,4318,460,259,1034,2565
1tq1,0.474635,0.215005,0.524578,0.681566,4318,683,756,619,2260
2tq2,0.190278,0.016398,0.69898,0.85132,4318,137,583,59,3539
3pst,0.519444,0.200834,0.564103,0.705882,4318,748,692,578,2300
overall,,,,0.469662,4318,2028,2290,,
