class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.420028,0.13087,0.390686,0.794349,4318,302,417,471,3128
1tq1,0.56984,0.194859,0.593773,0.726725,4318,820,619,561,2318
2tq2,0.436111,0.148416,0.370283,0.782307,4318,314,406,534,3064
3pst,0.681944,0.116053,0.746201,0.816582,4318,982,458,334,2544
overall,,,,0.559981,4318,2418,1900,,
