class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.75,0.138889,0.642857,0.833333,480,90,30,50,310
1tq1,0.791667,0.3125,0.716981,0.739583,480,190,50,75,165
2tq2,0.625,0,1,0.90625,480,75,45,0,360
overall,,,,0.739583,480,355,125,,
