class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.391667,0.45977,0.70625,480,120,0,141,219
1tq1,0.4125,0.5,0.452055,0.45625,480,99,141,120,120
2tq2,0,0,0,0.75,480,0,120,0,360
overall,,,,0.45625,480,219,261,,
