class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0.0833333,0,0.6875,480,0,120,30,330
1tq1,0.375,0.479167,0.439024,0.447917,480,90,150,115,125
2tq2,0.541667,0.5,0.265306,0.510417,480,65,55,180,180
overall,,,,0.322917,480,155,325,,
