class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.75,480,0,120,0,360
1tq1,0.541667,0.6,0.474453,0.470833,480,130,110,144,96
2tq2,0.5,0.405556,0.291262,0.570833,480,60,60,146,214
overall,,,,0.395833,480,190,290,,
