class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.522949,0.115032,0.475949,0.824687,4318,376,343,414,3185
1tq1,0.640723,0.279264,0.534183,0.694071,4318,922,517,804,2075
2tq2,0.697222,0.201223,0.409462,0.781843,4318,502,218,724,2874
3pst,0.399306,0.000347464,0.998264,0.799444,4318,575,865,1,2877
overall,,,,0.550023,4318,2375,1943,,
