class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.504202,0.236667,0.29703,0.720445,719,60,59,142,458
1tq1,0.383333,0.0939457,0.671533,0.731572,719,92,148,45,434
2tq2,0.441667,0.015025,0.854839,0.894298,719,53,67,9,590
3pst,0.9,0.212944,0.679245,0.824757,719,216,24,102,377
overall,,,,0.585535,719,421,298,,
