class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.2,0.333333,0.75,720,60,60,120,480
1tq1,0.6625,0.389583,0.459538,0.627778,720,159,81,187,293
2tq2,0,0,0,0.833333,720,0,120,0,600
3pst,0.466667,0.170833,0.57732,0.708333,720,112,128,82,398
overall,,,,0.459722,720,331,389,,
