class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.994413,0.618333,0.242342,0.483318,2158,356,2,1113,687
1tq1,0.372222,0.0382476,0.829721,0.76506,2158,268,452,55,1383
2tq2,0.55,0.0272525,0.801619,0.902224,2158,198,162,49,1749
3pst,0.163889,0.00069541,0.991597,0.720575,2158,118,602,1,1437
overall,,,,0.435589,2158,940,1218,,
