class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.520891,0.0388889,0.816594,0.851286,1439,187,172,42,1038
1tq1,0.941667,0.550765,0.631285,0.695622,1439,678,42,396,323
2tq2,0.377778,0,1,0.844336,1439,136,224,0,1079
overall,,,,0.695622,1439,1001,438,,
