class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.075,0.689655,0.81875,480,60,60,27,333
1tq1,0.4,0.229167,0.635762,0.585417,480,96,144,55,185
2tq2,0.541667,0.491667,0.268595,0.516667,480,65,55,177,183
overall,,,,0.460417,480,221,259,,
