class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.986111,0.252632,0.260417,480,120,0,355,5
1tq1,0,0.0208333,0,0.489583,480,0,240,5,235
2tq2,0,0,0,0.75,480,0,120,0,360
overall,,,,0.25,480,120,360,,
