class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.0833333,0.666667,0.8125,480,60,60,30,330
1tq1,0.875,0.745833,0.539846,0.564583,480,210,30,179,61
2tq2,0,0.00277778,0,0.747917,480,0,120,1,359
overall,,,,0.5625,480,270,210,,
