class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.525,0.188889,0.480916,0.739583,480,63,57,68,292
1tq1,0.3875,0.1125,0.775,0.6375,480,93,147,27,213
2tq2,0.775,0.377778,0.406114,0.660417,480,93,27,136,224
overall,,,,0.51875,480,249,231,,
