class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.311111,0.348837,0.641667,480,60,60,112,248
1tq1,0.0333333,0.0291667,0.533333,0.502083,480,8,232,7,233
2tq2,0.941667,0.5,0.385666,0.610417,480,113,7,180,180
overall,,,,0.377083,480,181,299,,
