class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.834106,2158,0,358,0,1800
1tq1,1,0.630737,0.442532,0.579703,2158,720,0,907,531
2tq2,0,0,0,0.833179,2158,0,360,0,1798
3pst,0.359722,0.189152,0.487759,0.660334,2158,259,461,272,1166
overall,,,,0.453661,2158,979,1179,,
