class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.684358,0.178889,0.432099,0.798424,2158,245,113,322,1478
1tq1,0.704167,0.251739,0.583429,0.73355,2158,507,213,362,1076
2tq2,0.438889,0.0400445,0.686957,0.873031,2158,158,202,72,1726
3pst,0.451389,0.116134,0.660569,0.739574,2158,325,395,167,1271
overall,,,,0.572289,2158,1235,923,,
