class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.668524,0.29537,0.429338,0.695622,1439,240,119,319,761
1tq1,0.488889,0.458971,0.516129,0.514941,1439,352,368,330,389
2tq2,0.247222,0.101019,0.449495,0.735928,1439,89,271,109,970
overall,,,,0.473245,1439,681,758,,
