class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.186111,0.472441,0.735417,480,60,60,67,293
1tq1,0.725,0.266667,0.731092,0.729167,480,174,66,64,176
2tq2,0.958333,0,1,0.989583,480,115,5,0,360
overall,,,,0.727083,480,349,131,,
