class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.75,480,0,120,0,360
1tq1,0.1,0.0666667,0.6,0.516667,480,24,216,16,224
2tq2,0.991667,0.891667,0.270455,0.329167,480,119,1,321,39
overall,,,,0.297917,480,143,337,,
