class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.94958,0.211667,0.470833,0.815021,719,113,6,127,473
1tq1,0.783333,0.519833,0.430206,0.581363,719,188,52,249,230
2tq2,0.35,0,1,0.891516,719,42,78,0,599
3pst,0,0,0,0.666203,719,0,240,0,479
overall,,,,0.477051,719,343,376,,
