class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.298333,0.401338,0.751389,720,120,0,179,421
1tq1,0.6625,0.145833,0.694323,0.790278,720,159,81,70,410
2tq2,0.591667,0,1,0.931944,720,71,49,0,600
3pst,0.504167,0,1,0.834722,720,121,119,0,480
overall,,,,0.654167,720,471,249,,
