class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0,0,0.75,480,0,120,0,360
1tq1,1,0.708333,0.585366,0.645833,480,240,0,170,70
2tq2,0.583333,0,1,0.895833,480,70,50,0,360
overall,,,,0.645833,480,310,170,,
