class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.369958,0.021117,0.777778,0.87749,4318,266,453,76,3523
1tq1,0.567755,0.10455,0.730769,0.786244,4318,817,622,301,2578
2tq2,0.801389,0.405225,0.283538,0.629226,4318,577,143,1458,2140
3pst,0.445139,0.0632384,0.778858,0.772811,4318,641,799,182,2696
overall,,,,0.532886,4318,2301,2017,,
