class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,1,0.380556,0.466926,0.714583,480,120,0,137,223
1tq1,0.55,0.3375,0.619718,0.60625,480,132,108,81,159
2tq2,0.0833333,0,1,0.770833,480,10,110,0,360
overall,,,,0.545833,480,262,218,,
