class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.146036,0.0163934,0.640244,0.844141,4318,105,614,59,3540
1tq1,0.177901,0.0781521,0.532225,0.673923,4318,256,1183,225,2654
2tq2,0,0,0,0.833256,4318,0,720,0,3598
3pst,0.975,0.788395,0.382249,0.466188,4318,1404,36,2269,609
overall,,,,0.408754,4318,1765,2553,,
