class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.508333,0.0194444,0.897059,0.8625,480,61,59,7,353
1tq1,0.970833,0.279167,0.776667,0.845833,480,233,7,67,173
2tq2,0.933333,0,1,0.983333,480,112,8,0,360
overall,,,,0.845833,480,406,74,,
