class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.733333,0.325,0.429268,0.689583,480,88,32,117,243
1tq1,0.0458333,0.133333,0.255814,0.45625,480,11,229,32,208
2tq2,1,0.311111,0.517241,0.766667,480,120,0,112,248
overall,,,,0.45625,480,219,261,,
