class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0,0.00166667,0,0.833102,719,0,119,1,599
1tq1,0.516667,0.538622,0.324607,0.479833,719,124,116,258,221
2tq2,0.825,0.39399,0.295522,0.642559,719,99,21,236,363
3pst,0,0.00208768,0,0.664812,719,0,240,1,478
overall,,,,0.310153,719,223,496,,
