class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.5,0.0888889,0.652174,0.808333,480,60,60,32,328
1tq1,0.791667,0.179167,0.815451,0.80625,480,190,50,43,197
2tq2,0.65,0.213889,0.503226,0.752083,480,78,42,77,283
overall,,,,0.683333,480,328,152,,
