class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.957983,0.0283333,0.870229,0.969402,719,114,5,17,583
1tq1,0.966667,0.45929,0.513274,0.682893,719,232,8,220,259
2tq2,0.475,0.00166945,0.982759,0.910987,719,57,63,1,598
3pst,0.3125,0.00626305,0.961538,0.766342,719,75,165,3,476
overall,,,,0.664812,719,478,241,,
