class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.396648,0.0938889,0.456592,0.821594,2158,142,216,169,1631
1tq1,0.593056,0.0591099,0.833984,0.824838,2158,427,293,85,1353
2tq2,0.969444,0.376529,0.340156,0.681186,2158,349,11,677,1121
3pst,0.275,0.0771905,0.640777,0.706673,2158,198,522,111,1327
overall,,,,0.517146,2158,1116,1042,,
