class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.145251,0.085,0.253659,0.787303,2158,52,306,153,1647
1tq1,0.423611,0.363004,0.368803,0.565802,2158,305,415,522,916
2tq2,0.547222,0.256396,0.299392,0.710843,2158,197,163,461,1337
3pst,0.266667,0.191933,0.410256,0.627433,2158,192,528,276,1162
overall,,,,0.34569,2158,746,1412,,
