class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.235294,0.283333,0.141414,0.636996,719,28,91,170,430
1tq1,0.179167,0.125261,0.417476,0.642559,719,43,197,60,419
2tq2,0.441667,0.258765,0.254808,0.691238,719,53,67,155,444
3pst,0.441667,0.217119,0.504762,0.668985,719,106,134,104,375
overall,,,,0.319889,719,230,489,,
