class,TPR,FPR,PPV,ACC,total_images,TP,FN,FP,TN
0pre,0.97479,0.26,0.426471,0.77886,719,116,3,156,444
1tq1,0.641667,0.23382,0.578947,0.724618,719,154,86,112,367
2tq2,0.416667,0.0417362,0.666667,0.867872,719,50,70,25,574
3pst,0.416667,0.0125261,0.943396,0.79694,719,100,140,6,473
overall,,,,0.584145,719,420,299,,
